EmployeeID,Age,Gender,Experience,Salary,Department,PerformanceScore,TrainingHours,Promoted
1,25,Male,2,25000,Sales,60,10,0
2,28,Female,4,35000,IT,75,20,1
3,30,Male,5,40000,HR,70,15,1
4,22,Female,1,22000,Sales,50,5,0
5,35,Male,8,60000,IT,90,30,1
6,29,Female,3,32000,Finance,65,12,0
7,40,Male,10,75000,IT,95,40,1
8,26,Female,2,28000,HR,55,8,0
9,31,Male,6,45000,Finance,78,18,1
10,27,Female,3,30000,Sales,62,10,0
11,38,Male,9,68000,IT,88,25,1
12,24,Female,1,21000,HR,48,4,0
13,33,Male,7,52000,Finance,82,20,1
14,29,Female,4,36000,Sales,68,14,0
15,41,Male,12,80000,IT,97,45,1
16,23,Female,1,23000,HR,52,6,0
17,36,Male,8,62000,Finance,85,22,1
18,28,Female,3,31000,Sales,61,9,0
19,34,Male,7,55000,IT,84,24,1
20,25,Female,2,26000,HR,58,7,0
21,37,Male,9,70000,IT,91,32,1
22,30,Female,5,39000,Finance,73,15,1
23,27,Male,3,30000,Sales,59,10,0
24,32,Female,6,47000,HR,80,18,1
25,39,Male,10,76000,IT,94,35,1
26,24,Female,1,22000,Finance,49,5,0
27,35,Male,8,61000,Sales,86,25,1
28,29,Female,4,34000,HR,67,11,0
29,42,Male,13,85000,IT,98,50,1
30,26,Female,2,27000,Finance,57,8,0
31,31,Male,6,46000,Sales,79,17,1
32,28,Female,3,32000,IT,64,10,0
33,40,Male,11,78000,IT,96,42,1
34,25,Female,2,25000,HR,54,6,0
35,36,Male,9,65000,Finance,89,28,1
36,27,Female,3,30000,Sales,60,9,0
37,34,Male,7,54000,IT,83,21,1
38,23,Female,1,21000,Finance,47,4,0
39,38,Male,10,72000,IT,92,34,1
40,29,Female,4,35000,HR,69,12,0
41,33,Male,6,50000,Finance,81,19,1
42,26,Female,2,28000,Sales,56,7,0
43,37,Male,8,64000,IT,87,26,1
44,24,Female,1,23000,HR,51,5,0
45,35,Male,9,67000,Finance,90,30,1
46,28,Female,3,31000,Sales,63,9,0
47,41,Male,12,82000,IT,97,48,1
48,25,Female,2,26000,Finance,55,6,0
49,39,Male,10,74000,IT,93,36,1
50,30,Female,5,40000,HR,74,16,1
